epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1983,0.97059,2.03715,0.91377,0.82448,0.98167,0.83797,0.69945,0.60796,1.07797,0.87296,0.000473952,0.000473952,0.000473952
2,57.6545,0.61838,0.93366,0.8261,0.98595,0.99914,0.994,0.89645,0.50965,0.83897,0.86012,0.000945581,0.000945581,0.000945581
3,85.3762,0.53298,0.74385,0.8057,0.99668,0.99994,0.995,0.79211,0.66613,0.67097,0.90444,0.00141249,0.00141249,0.00141249
4,113.339,0.54106,0.65943,0.81406,0.99757,1,0.995,0.86425,0.60315,0.64746,0.892,0.00140778,0.00140778,0.00140778
5,144.053,0.44823,0.56356,0.80444,0.99756,1,0.995,0.90822,0.45553,0.5814,0.85829,0.00140071,0.00140071,0.00140071
6,175.106,0.44264,0.51316,0.79902,0.99881,1,0.995,0.87533,0.50029,0.48459,0.85596,0.00139363,0.00139363,0.00139363
7,204.316,0.41629,0.46078,0.80349,0.9982,1,0.995,0.91184,0.43568,0.43507,0.85073,0.00138656,0.00138656,0.00138656
8,233.451,0.40602,0.42959,0.79207,0.96674,0.99667,0.99151,0.9044,0.40319,0.55169,0.83625,0.00137949,0.00137949,0.00137949
9,262.607,0.41437,0.40765,0.79363,0.99763,1,0.995,0.91364,0.43186,0.38927,0.84082,0.00137241,0.00137241,0.00137241
10,292.854,0.38318,0.38577,0.78967,0.99803,1,0.995,0.90945,0.50059,0.36614,0.85488,0.00136534,0.00136534,0.00136534
