epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,326.574,0.74477,1.41087,1.24279,0.01774,0.82376,0.87712,0.90849,0.77875,0.70381,0.83874,1.29655,0.00113,0.000475993,0.000475993,0.000475993
2,189.642,0.43307,0.43594,1.05141,0.00182,0.9702,0.87907,0.95076,0.84958,0.619,0.67997,1.1668,0.00098,0.000947612,0.000947612,0.000947612
3,387.571,0.39215,0.37957,1.03113,0.00131,0.96793,0.94505,0.97537,0.88242,0.52061,0.49128,1.11636,0.00103,0.00141452,0.00141452,0.00141452
4,676.106,0.37075,0.34298,1.02055,0.00102,0.97369,0.93231,0.96809,0.87181,0.56842,0.5077,1.14107,0.00069,0.00140778,0.00140778,0.00140778
5,921.382,0.36048,0.32533,1.01324,0.00096,0.96817,0.93449,0.97783,0.89557,0.50805,0.45052,1.08413,0.00063,0.00140071,0.00140071,0.00140071
6,1136.74,0.33797,0.30761,1.00551,0.0009,0.96916,0.96757,0.97506,0.90536,0.48658,0.43542,1.10258,0.00059,0.00139363,0.00139363,0.00139363
7,1330.93,0.32722,0.29686,1.00627,0.00087,0.96485,0.94675,0.96652,0.88369,0.54359,0.50231,1.13609,0.00043,0.00138656,0.00138656,0.00138656
8,1562.42,0.31592,0.28865,1.00501,0.00078,0.96956,0.93276,0.9686,0.89709,0.49738,0.47876,1.10231,0.00058,0.00137949,0.00137949,0.00137949
9,1830.93,0.30978,0.28061,0.99858,0.00074,0.92661,0.96419,0.96974,0.90398,0.47511,0.43551,1.09441,0.00052,0.00137241,0.00137241,0.00137241
10,2110.09,0.30614,0.27839,0.99707,0.00076,0.96079,0.96547,0.97306,0.90434,0.47191,0.41171,1.08598,0.0005,0.00136534,0.00136534,0.00136534
11,2340.63,0.29835,0.27001,0.99738,0.00069,0.97472,0.96489,0.977,0.89872,0.49086,0.42174,1.10637,0.00038,0.00135826,0.00135826,0.00135826
