epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4088,1.04485,2.81658,1.60313,0.9599,0.96933,0.99468,0.85106,0.56519,0.94031,1.69875,0.000473952,0.000473952,0.000473952
2,76.2685,0.54016,0.74031,1.48619,0.82698,0.97296,0.99119,0.88755,0.58258,0.70779,1.52785,0.000945581,0.000945581,0.000945581
3,110.739,0.48385,0.52666,1.42132,0.91798,0.96246,0.995,0.90257,0.54114,0.80947,1.62716,0.00141249,0.00141249,0.00141249
4,152.931,0.46319,0.46682,1.40009,0.95938,0.9135,0.99167,0.92038,0.45249,0.75041,1.50096,0.00140778,0.00140778,0.00140778
5,192.898,0.39892,0.39864,1.44182,0.99836,1,0.995,0.90588,0.41514,0.39815,1.67345,0.00140071,0.00140071,0.00140071
6,238.065,0.37317,0.36604,1.4311,0.99842,1,0.995,0.93578,0.39959,0.3616,1.67771,0.00139363,0.00139363,0.00139363
7,281.13,0.35729,0.35055,1.40051,0.99771,1,0.995,0.94729,0.36764,0.31426,1.50459,0.00138656,0.00138656,0.00138656
8,326.261,0.33098,0.3314,1.41901,0.99016,0.99168,0.995,0.95426,0.32227,0.37105,1.52422,0.00137949,0.00137949,0.00137949
9,371.38,0.31583,0.31246,1.35742,0.99842,1,0.995,0.93357,0.30888,0.4518,1.47737,0.00137241,0.00137241,0.00137241
10,415.638,0.29994,0.29333,1.38683,0.99678,0.99153,0.995,0.95162,0.30751,0.37489,1.51771,0.00136534,0.00136534,0.00136534
11,458.482,0.28448,0.28397,1.37392,0.99851,1,0.995,0.9475,0.27381,0.29891,1.54753,0.00135826,0.00135826,0.00135826
12,516.439,0.29436,0.28164,1.37089,0.99913,1,0.995,0.9327,0.33294,0.2524,1.50384,0.00135119,0.00135119,0.00135119
13,560.828,0.27622,0.26888,1.3838,0.81152,0.94451,0.99485,0.90512,0.48291,0.58535,1.49152,0.00134412,0.00134412,0.00134412
14,602.984,0.27511,0.27169,1.36593,0.99847,1,0.995,0.9507,0.28226,0.35686,1.48841,0.00133704,0.00133704,0.00133704
15,652.557,0.2847,0.277,1.36325,0.99873,1,0.995,0.92845,0.3346,0.26467,1.57808,0.00132997,0.00132997,0.00132997
16,706.244,0.27889,0.27456,1.36031,0.99841,1,0.995,0.94829,0.33376,0.28031,1.58528,0.0013229,0.0013229,0.0013229
